User_ID,Home_TN_Cell,User_Profile,Base_Demand_Mbps,Demand_Hour_0,Lat_Hour_0,Lon_Hour_0,Demand_Hour_1,Lat_Hour_1,Lon_Hour_1,Demand_Hour_2,Lat_Hour_2,Lon_Hour_2,Demand_Hour_3,Lat_Hour_3,Lon_Hour_3,Demand_Hour_4,Lat_Hour_4,Lon_Hour_4,Demand_Hour_5,Lat_Hour_5,Lon_Hour_5,Demand_Hour_6,Lat_Hour_6,Lon_Hour_6,Demand_Hour_7,Lat_Hour_7,Lon_Hour_7,Demand_Hour_8,Lat_Hour_8,Lon_Hour_8,Demand_Hour_9,Lat_Hour_9,Lon_Hour_9,Demand_Hour_10,Lat_Hour_10,Lon_Hour_10,Demand_Hour_11,Lat_Hour_11,Lon_Hour_11,Demand_Hour_12,Lat_Hour_12,Lon_Hour_12,Demand_Hour_13,Lat_Hour_13,Lon_Hour_13,Demand_Hour_14,Lat_Hour_14,Lon_Hour_14,Demand_Hour_15,Lat_Hour_15,Lon_Hour_15,Demand_Hour_16,Lat_Hour_16,Lon_Hour_16,Demand_Hour_17,Lat_Hour_17,Lon_Hour_17,Demand_Hour_18,Lat_Hour_18,Lon_Hour_18,Demand_Hour_19,Lat_Hour_19,Lon_Hour_19,Demand_Hour_20,Lat_Hour_20,Lon_Hour_20,Demand_Hour_21,Lat_Hour_21,Lon_Hour_21,Demand_Hour_22,Lat_Hour_22,Lon_Hour_22,Demand_Hour_23,Lat_Hour_23,Lon_Hour_23
10,5,Heavy (Gaming/4K),10.1,2.02,46.6958,-80.9837,2.03,46.6958,-80.9837,2.04,46.6958,-80.9837,2.08,46.6958,-80.9837,2.17,46.6958,-80.9837,2.35,46.6958,-80.9837,2.7,46.6922,-80.9809,3.28,46.6948,-80.9848,4.1,46.8615,-80.7756,5.09,46.8615,-80.7756,6.07,46.6976,-80.9889,6.82,46.6976,-80.9889,7.13,46.6976,-80.9889,7.0,46.6976,-80.9889,6.63,46.6976,-80.9889,6.45,46.6976,-80.9889,6.91,46.6976,-80.9889,8.2,46.6996,-80.9761,10.04,46.6835,-80.9886,11.68,46.6901,-80.9734,12.27,46.6901,-80.9734,11.4,46.6901,-80.9734,9.38,46.7028,-80.9827,6.95,46.6802,-80.9847
11,17,Medium (Social/Video),4.9,0.98,43.0377,-79.9331,0.98,43.0377,-79.9331,0.99,43.0377,-79.9331,1.01,43.0377,-79.9331,1.05,43.0377,-79.9331,1.14,43.0377,-79.9331,1.31,43.0377,-79.9331,1.59,43.0377,-79.9331,1.99,43.0377,-79.9331,2.47,43.0377,-79.9331,2.94,43.0377,-79.9331,3.31,43.0342,-79.9275,3.46,43.0298,-79.9295,3.4,43.0298,-79.9295,3.22,43.0401,-79.9467,3.13,43.0393,-79.9383,3.35,43.0393,-79.9383,3.98,43.0365,-79.9319,4.87,43.0355,-79.9387,5.67,43.0355,-79.9387,5.95,43.0359,-79.927,5.53,43.0388,-79.9275,4.55,43.0388,-79.9275,3.37,43.0388,-79.9275
12,7,Light (Text/Web),0.41,0.08,43.1027,-81.4082,0.08,43.1027,-81.4082,0.08,43.1027,-81.4082,0.08,43.1027,-81.4082,0.09,43.1004,-81.4152,0.1,43.1004,-81.4152,0.11,43.1004,-81.4152,0.13,43.1052,-81.4021,0.17,43.1052,-81.4021,0.21,43.1028,-81.4053,0.25,43.1028,-81.4053,0.28,43.1028,-81.4053,0.29,43.1028,-81.4053,0.28,43.1115,-81.4036,0.27,43.1115,-81.4036,0.26,43.1115,-81.4036,0.28,43.1023,-81.4054,0.33,43.1023,-81.4054,0.41,43.1023,-81.4054,0.47,43.1023,-81.4054,0.5,43.1031,-81.3437,0.46,43.1031,-81.3437,0.38,43.0963,-81.4136,0.28,43.0963,-81.4136
13,1,Medium (Social/Video),3.72,0.74,43.5638,-79.4432,0.75,43.5638,-79.4432,0.75,43.5638,-79.4432,0.76,43.5638,-79.4432,0.8,43.5638,-79.4432,0.87,43.5638,-79.4432,1.0,43.5711,-79.4338,1.21,43.5711,-79.4338,1.51,43.5711,-79.4338,1.87,43.5711,-79.4338,2.23,43.5711,-79.4338,2.51,43.5711,-79.4338,2.62,43.5711,-79.4338,2.58,43.5559,-79.4472,2.44,43.5559,-79.4472,2.37,43.5622,-79.4412,2.54,43.5622,-79.4412,3.02,43.5622,-79.4412,3.69,43.5622,-79.4412,4.3,43.5752,-79.4415,4.51,43.5752,-79.4415,4.2,43.5752,-79.4415,3.45,43.5752,-79.4415,2.56,43.5752,-79.4415
14,17,Medium (Social/Video),4.33,0.87,43.3269,-79.7885,0.87,43.3269,-79.7885,0.88,43.3269,-79.7885,0.89,43.3269,-79.7885,0.93,43.3219,-79.7934,1.01,43.3219,-79.7934,1.16,43.3193,-79.7951,1.41,43.3193,-79.7951,1.76,43.4929,-79.7612,2.18,43.4929,-79.7612,2.6,43.4929,-79.7612,2.92,43.3253,-79.7847,3.06,43.3253,-79.7847,3.0,43.3245,-79.7859,2.84,43.335,-79.7911,2.77,43.335,-79.7911,2.96,43.3253,-79.7877,3.52,43.3228,-79.7856,4.31,43.3228,-79.7856,5.01,43.4969,-79.7583,5.26,43.4969,-79.7583,4.89,43.3228,-79.7883,4.02,43.3277,-79.7867,2.98,43.3277,-79.7867
15,7,Heavy (Gaming/4K),23.16,4.64,42.8207,-81.179,4.65,42.8239,-81.1832,4.68,42.8239,-81.1832,4.76,42.8239,-81.1832,4.96,42.8239,-81.1832,5.39,42.8239,-81.1832,6.2,42.8239,-81.1832,7.52,42.8239,-81.1832,9.39,42.8239,-81.1832,11.66,42.8239,-81.1832,13.91,42.8239,-81.1832,15.62,42.8239,-81.1832,16.35,42.8239,-81.1832,16.05,42.8239,-81.1832,15.2,42.8239,-81.1832,14.79,42.8239,-81.1832,15.83,42.8179,-81.1816,18.79,42.8154,-81.1882,23.02,42.8228,-81.169,26.77,42.8228,-81.169,28.12,42.8228,-81.169,26.14,42.8228,-81.169,21.49,42.8228,-81.169,15.92,42.8228,-81.169
16,17,Medium (Social/Video),4.61,0.92,43.1562,-79.9484,0.92,43.1562,-79.9484,0.93,43.1562,-79.9484,0.95,43.1562,-79.9484,0.99,43.1562,-79.9484,1.07,43.1562,-79.9484,1.23,43.1562,-79.9484,1.5,43.1562,-79.9484,1.87,43.1562,-79.9484,2.32,43.1562,-79.9484,2.77,43.1562,-79.9484,3.11,43.1562,-79.9484,3.25,43.1533,-79.9443,3.19,43.1533,-79.9443,3.02,43.1558,-79.9473,2.94,43.1558,-79.9473,3.15,43.1558,-79.9473,3.74,43.1558,-79.9473,4.58,43.1558,-79.9473,5.33,43.1558,-79.9473,5.59,43.1558,-79.9473,5.2,43.1558,-79.9473,4.28,43.1569,-79.9459,3.17,43.1569,-79.9459
17,7,Medium (Social/Video),3.78,0.76,43.0139,-81.1229,0.76,43.0139,-81.1229,0.76,43.0139,-81.1229,0.78,43.0139,-81.1229,0.81,43.0139,-81.1229,0.88,43.0139,-81.1229,1.01,43.0139,-81.1229,1.23,43.0149,-81.1232,1.53,43.0149,-81.1232,1.9,43.0149,-81.1232,2.27,43.0117,-81.1329,2.55,43.017,-81.1263,2.67,43.017,-81.1263,2.62,43.017,-81.1263,2.48,43.0146,-81.1306,2.42,43.0174,-81.11,2.59,43.0121,-81.1223,3.07,43.0152,-81.1291,3.76,43.0152,-81.1291,4.37,43.0159,-81.1289,4.59,43.0159,-81.1289,4.27,43.0159,-81.1289,3.51,43.0159,-81.1289,2.6,43.0159,-81.1289
18,1,Medium (Social/Video),2.38,0.48,43.446,-79.3997,0.48,43.4509,-79.3836,0.48,43.4509,-79.3836,0.49,43.4509,-79.3836,0.51,43.4509,-79.3836,0.55,43.4509,-79.3836,0.64,43.4443,-79.3874,0.77,43.4511,-79.3895,0.96,43.4511,-79.3895,1.2,43.4511,-79.3895,1.43,43.4498,-79.3866,1.6,43.4521,-79.3742,1.68,43.4521,-79.3742,1.65,43.4429,-79.3901,1.56,43.4429,-79.3901,1.52,43.4429,-79.3901,1.62,43.4502,-79.3842,1.93,43.4502,-79.3842,2.36,43.4502,-79.3842,2.75,43.4479,-79.3871,2.89,43.4563,-79.3828,2.68,43.4563,-79.3828,2.21,43.4563,-79.3828,1.63,43.4563,-79.3828
19,5,Light (Text/Web),0.75,0.15,46.4784,-80.9588,0.15,46.4848,-80.9577,0.15,46.4848,-80.9577,0.15,46.4848,-80.9577,0.16,46.4848,-80.9577,0.17,46.4848,-80.9577,0.2,46.4746,-80.977,0.24,46.4792,-80.9821,0.3,46.2368,-80.8844,0.38,46.2368,-80.8844,0.45,46.2368,-80.8844,0.51,46.2368,-80.8844,0.53,46.2368,-80.8844,0.52,46.2368,-80.8844,0.49,46.4755,-80.9572,0.48,46.4846,-80.9601,0.51,46.2441,-80.8848,0.61,46.2441,-80.8848,0.75,46.4758,-80.9457,0.87,46.4758,-80.9457,0.91,46.4758,-80.9457,0.85,46.475,-80.9631,0.7,46.4743,-80.953,0.52,46.4743,-80.953
20,17,Heavy (Gaming/4K),14.96,2.99,43.472,-79.8105,3.0,43.472,-79.8105,3.02,43.472,-79.8105,3.08,43.4696,-79.8161,3.21,43.4696,-79.8161,3.48,43.4696,-79.8161,4.0,43.4696,-79.8161,4.86,43.4684,-79.8018,6.07,43.4684,-79.8018,7.53,43.4684,-79.8018,8.99,43.4738,-79.8189,10.09,43.4738,-79.8189,10.56,43.4738,-79.8189,10.37,43.4738,-79.8189,9.82,43.4669,-79.8101,9.55,43.4669,-79.8101,10.23,43.4677,-79.804,12.14,43.4729,-79.8178,14.87,43.4729,-79.8178,17.29,43.4729,-79.8178,18.17,43.4729,-79.8178,16.89,43.4729,-79.8178,13.89,43.4729,-79.8178,10.28,43.4729,-79.8178
21,5,Medium (Social/Video),3.5,0.7,46.4221,-80.8934,0.7,46.4221,-80.8934,0.71,46.4221,-80.8934,0.72,46.4221,-80.8934,0.75,46.4221,-80.8934,0.81,46.4221,-80.8934,0.94,46.4272,-80.8937,1.13,46.4272,-80.8937,1.42,46.4272,-80.8937,1.76,46.4321,-80.8967,2.1,46.417,-80.8995,2.36,46.417,-80.8995,2.47,46.4278,-80.8933,2.42,46.4278,-80.8933,2.29,46.4278,-80.8933,2.23,46.4278,-80.8933,2.39,46.4273,-80.8957,2.84,46.4255,-80.8842,3.47,46.4255,-80.8842,4.04,46.4255,-80.8842,4.24,46.4268,-80.8934,3.94,46.4155,-80.8943,3.24,46.4148,-80.8986,2.4,46.4148,-80.8986
22,8,Heavy (Gaming/4K),22.15,4.43,45.4287,-75.8614,4.44,45.4287,-75.8614,4.47,45.4287,-75.8614,4.55,45.4287,-75.8614,4.75,45.4287,-75.8614,5.16,45.4287,-75.8614,5.93,45.2434,-75.9367,7.19,45.2434,-75.9367,8.98,45.2434,-75.9367,11.15,45.2434,-75.9367,13.31,45.2434,-75.9367,14.94,45.4263,-75.8533,15.64,45.4263,-75.8533,15.35,45.2342,-75.9353,14.54,45.423,-75.865,14.15,45.423,-75.865,15.14,45.4233,-75.8474,17.97,45.4263,-75.8725,22.01,45.4329,-75.8598,25.61,45.2305,-75.9314,26.9,45.4283,-75.8573,25.0,45.4829,-75.8737,20.56,45.4829,-75.8737,15.23,45.4829,-75.8737
23,1,Heavy (Gaming/4K),10.41,2.08,43.5401,-79.3507,2.09,43.5401,-79.3507,2.1,43.5401,-79.3507,2.14,43.5401,-79.3507,2.23,43.5401,-79.3507,2.43,43.5401,-79.3507,2.79,43.541,-79.36,3.38,43.5462,-79.3527,4.22,43.5462,-79.3527,5.24,43.5462,-79.3527,6.26,43.5411,-79.3492,7.02,43.5469,-79.3588,7.35,43.5469,-79.3588,7.22,43.5446,-79.3496,6.84,43.5376,-79.3562,6.65,43.5376,-79.3562,7.12,43.5376,-79.3562,8.45,43.5376,-79.3562,10.35,43.5376,-79.3562,12.04,43.5376,-79.3562,12.65,43.5416,-79.3563,11.75,43.5378,-79.3508,9.67,43.5455,-79.3517,7.16,43.5455,-79.3517
24,8,Light (Text/Web),0.84,0.17,45.4452,-75.8199,0.17,45.4452,-75.8199,0.17,45.4452,-75.8199,0.17,45.4452,-75.8199,0.18,45.4452,-75.8199,0.2,45.4452,-75.8199,0.22,45.4452,-75.8199,0.27,45.4535,-75.8207,0.34,45.445,-75.8147,0.42,45.445,-75.8147,0.5,45.4516,-75.8178,0.57,45.448,-75.8191,0.59,45.448,-75.8191,0.58,45.448,-75.8191,0.55,45.4487,-75.8187,0.54,45.4374,-75.8209,0.57,45.4517,-75.81,0.68,45.4517,-75.81,0.84,45.4364,-75.8259,0.97,45.4413,-75.8252,1.02,45.4413,-75.8252,0.95,45.4413,-75.8252,0.78,45.4436,-75.8167,0.58,45.4436,-75.8167
25,5,Medium (Social/Video),3.95,0.79,46.1913,-80.9461,0.79,46.1913,-80.9461,0.8,46.1913,-80.9461,0.81,46.1913,-80.9461,0.85,46.1913,-80.9461,0.92,46.1913,-80.9461,1.06,46.1913,-80.9461,1.28,46.1574,-80.8235,1.6,46.1574,-80.8235,1.99,46.1904,-80.9489,2.37,46.1904,-80.9489,2.66,46.1904,-80.9489,2.79,46.1904,-80.9489,2.74,46.1904,-80.9489,2.59,46.1915,-80.9424,2.52,46.1915,-80.9424,2.7,46.1915,-80.9424,3.2,46.1914,-80.9457,3.92,46.1945,-80.9496,4.56,46.1891,-80.9535,4.79,46.1891,-80.9535,4.46,46.1891,-80.9535,3.66,46.1891,-80.9535,2.71,46.1891,-80.9535
26,7,Light (Text/Web),0.92,0.18,42.7838,-81.5486,0.19,42.7838,-81.5486,0.19,42.7797,-81.5519,0.19,42.7797,-81.5519,0.2,42.7797,-81.5519,0.22,42.7914,-81.5536,0.25,42.7887,-81.5479,0.3,42.7922,-81.549,0.37,42.7743,-81.5494,0.46,42.7743,-81.5494,0.55,42.7743,-81.5494,0.62,42.7743,-81.5494,0.65,42.7743,-81.5494,0.64,42.7743,-81.5494,0.61,42.7886,-81.5429,0.59,42.7886,-81.5429,0.63,42.7886,-81.5429,0.75,42.7886,-81.5429,0.92,42.7886,-81.5429,1.07,42.7886,-81.5429,1.12,42.7886,-81.5429,1.04,42.7886,-81.5429,0.86,42.7886,-81.5429,0.63,42.7886,-81.5429
27,8,Medium (Social/Video),1.67,0.33,45.3721,-75.7207,0.33,45.3721,-75.7207,0.34,45.3721,-75.7207,0.34,45.3721,-75.7207,0.36,45.3721,-75.7207,0.39,45.3721,-75.7207,0.45,45.3721,-75.7207,0.54,45.3824,-75.7139,0.68,45.3824,-75.7139,0.84,45.3684,-75.7167,1.0,45.3684,-75.7167,1.12,45.3684,-75.7167,1.18,45.3684,-75.7167,1.15,45.3684,-75.7167,1.09,45.3684,-75.7167,1.06,45.38,-75.7402,1.14,45.3618,-75.716,1.35,45.3618,-75.716,1.66,45.3618,-75.716,1.93,45.3818,-75.74,2.02,45.3818,-75.74,1.88,45.3818,-75.74,1.55,45.3719,-75.7134,1.15,45.3711,-75.7288
28,8,Medium (Social/Video),1.84,0.37,45.6044,-75.8001,0.37,45.6044,-75.8001,0.37,45.6044,-75.8001,0.38,45.6044,-75.8001,0.39,45.6044,-75.8001,0.43,45.6044,-75.8001,0.49,45.6044,-75.8001,0.6,45.6081,-75.7895,0.75,45.6092,-75.797,0.93,45.6067,-75.791,1.11,45.606,-75.7925,1.24,45.6067,-75.7938,1.3,45.6113,-75.7966,1.28,45.6113,-75.7966,1.21,45.6113,-75.7966,1.18,45.6075,-75.7946,1.26,45.6075,-75.7946,1.49,45.6164,-75.7897,1.83,45.6057,-75.7927,2.13,45.606,-75.8,2.24,45.615,-75.7988,2.08,45.61,-75.7978,1.71,45.609,-75.789,1.27,45.6066,-75.7929
29,3,Medium (Social/Video),3.26,0.65,44.0358,-76.5058,0.65,44.0358,-76.5058,0.66,44.0358,-76.5058,0.67,44.0358,-76.5058,0.7,44.0358,-76.5058,0.76,44.0358,-76.5058,0.87,44.0358,-76.5058,1.06,44.0358,-76.5058,1.32,44.0358,-76.5058,1.64,44.0358,-76.5058,1.96,44.0358,-76.5058,2.2,44.0309,-76.5102,2.3,44.0266,-76.5189,2.26,44.0266,-76.5189,2.14,44.0423,-76.5025,2.08,44.0423,-76.5025,2.23,44.0423,-76.5025,2.65,44.0423,-76.5025,3.24,44.0423,-76.5025,3.77,44.0423,-76.5025,3.96,44.0423,-76.5025,3.68,44.0423,-76.5025,3.03,44.07,-76.5334,2.24,44.07,-76.5334
30,1,Medium (Social/Video),3.51,0.7,43.94,-79.3179,0.7,43.94,-79.3179,0.71,43.94,-79.3179,0.72,43.94,-79.3179,0.75,43.94,-79.3179,0.82,43.9417,-79.324,0.94,43.9509,-79.3187,1.14,43.9478,-79.326,1.42,43.9281,-79.3216,1.77,43.93,-79.2846,2.11,43.93,-79.2846,2.37,43.93,-79.2846,2.48,43.93,-79.2846,2.43,43.9362,-79.3204,2.3,43.9362,-79.3204,2.24,43.9367,-79.2973,2.4,43.9413,-79.3177,2.85,43.9404,-79.3126,3.49,43.9404,-79.3126,4.05,43.9435,-79.3197,4.26,43.9435,-79.3197,3.96,43.9435,-79.3197,3.25,43.9435,-79.3197,2.41,43.9435,-79.3197
31,1,Light (Text/Web),0.12,0.02,43.97,-79.6728,0.02,43.97,-79.6728,0.02,43.97,-79.6728,0.02,43.97,-79.6728,0.02,43.97,-79.6728,0.03,43.97,-79.6728,0.03,43.97,-79.6728,0.04,43.9765,-79.6787,0.05,43.9765,-79.6787,0.06,43.9765,-79.6787,0.07,43.9765,-79.6787,0.08,43.9765,-79.6787,0.08,43.9711,-79.6699,0.08,43.9754,-79.669,0.08,43.9754,-79.669,0.07,44.1057,-79.3986,0.08,44.1057,-79.3986,0.09,44.0947,-79.4038,0.12,44.0947,-79.4038,0.13,44.0947,-79.4038,0.14,44.0947,-79.4038,0.13,44.0947,-79.4038,0.11,44.0993,-79.4032,0.08,44.0993,-79.4032
32,17,Medium (Social/Video),2.72,0.54,43.0184,-79.7025,0.55,43.0184,-79.7025,0.55,43.0184,-79.7025,0.56,43.0184,-79.7025,0.58,43.0184,-79.7025,0.63,43.0184,-79.7025,0.73,43.0184,-79.7025,0.88,43.0184,-79.7025,1.1,43.0155,-79.7046,1.37,43.0155,-79.7046,1.63,43.0097,-79.6968,1.83,43.0097,-79.6968,1.92,43.0128,-79.7103,1.88,43.0128,-79.7103,1.79,43.0128,-79.7103,1.74,43.0128,-79.7103,1.86,43.0128,-79.7103,2.21,43.0182,-79.7029,2.7,43.018,-79.7164,3.14,43.018,-79.7164,3.3,43.018,-79.7164,3.07,43.018,-79.7164,2.52,43.018,-79.7164,1.87,43.018,-79.7164
